
Wall time: 3h 4min 1s
Best: -10855970303170.636719 using {'init_mode': 'normal'}
-12670514098117.300781 (5967502322541.809570) with: {'init_mode': 'uniform'}
-14258255245244.685547 (5707681601789.341797) with: {'init_mode': 'lecun_uniform'}
-10855970303170.636719 (3307761224495.978516) with: {'init_mode': 'normal'}
-63301275374286.117188 (8228199432997.411133) with: {'init_mode': 'zero'}
-10937867667302.707031 (2902406831495.527344) with: {'init_mode': 'glorot_normal'}
-14120269555259.771484 (8134812183244.729492) with: {'init_mode': 'glorot_uniform'}
-11580828287795.414062 (4388256359806.509277) with: {'init_mode': 'he_normal'}
-16034903705486.593750 (10189050104072.507812) with: {'init_mode': 'he_uniform'}
